City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Ilhabela,BR,-23.7781,-45.3581,73.67,70,16,3.6,few clouds
191,Leningradskiy,RU,69.3833,178.4167,28.47,92,100,18.88,light snow
192,Rio Gallegos,AR,-51.6226,-69.2181,51.85,24,0,18.41,clear sky
193,Gospic,HR,44.5461,15.3747,60.49,67,9,4.52,clear sky
194,Russell,US,32.3502,-85.1999,85.91,57,30,7.05,scattered clouds
195,Koygorodok,RU,60.445,50.9968,43.97,80,84,9.08,broken clouds
196,Berlevag,NO,70.8578,29.0864,43.38,75,100,11.5,overcast clouds
197,Sioux Lookout,CA,50.1001,-91.917,60.87,55,40,14.97,scattered clouds
198,Klaksvik,FO,62.2266,-6.589,50.92,80,89,6.44,overcast clouds
199,Ostrovnoy,RU,68.0531,39.5131,40.73,81,97,13.85,overcast clouds
200,Half Moon Bay,US,37.4636,-122.4286,84.06,72,46,7.99,scattered clouds
201,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,75,14.97,broken clouds
202,Hope,US,33.6671,-93.5916,84.85,34,0,6.67,clear sky
203,Saint Anthony,US,45.0205,-93.218,80.26,56,1,5.75,clear sky
204,Iskateley,RU,67.6803,53.1512,35.91,93,82,7.92,broken clouds
205,Faya,SA,18.3851,42.4509,71.71,54,74,3.31,broken clouds
206,Prince Rupert,CA,54.3161,-130.3201,57.29,85,90,8.05,light rain
207,Korla,CN,41.7597,86.1469,72.48,30,80,6.62,broken clouds
208,Torbay,CA,47.6666,-52.7314,68.29,75,20,27.63,few clouds
209,Pisco,PE,-13.7,-76.2167,64.45,77,40,9.22,scattered clouds
210,Mayo,US,38.8876,-76.5119,81.93,54,81,3.0,broken clouds
211,Mahon,ES,39.8885,4.2658,75.76,73,0,2.3,clear sky
212,Pinhao,BR,-25.6956,-51.6597,72.14,55,88,4.34,overcast clouds
213,San Ramon,US,37.7799,-121.978,86.23,50,0,1.99,clear sky
214,Korem,ET,12.5058,39.5228,61.39,66,24,2.55,few clouds
215,Sobolevo,RU,54.4299,31.8996,58.55,77,89,5.77,overcast clouds
216,Chuy,UY,-33.6971,-53.4616,60.6,81,62,5.91,broken clouds
217,Viedma,AR,-40.8135,-62.9967,68.76,41,100,24.58,moderate rain
218,Benghazi,LY,32.1167,20.0667,82.8,64,0,4.14,clear sky
219,Novo Aripuana,BR,-5.1206,-60.3797,92.14,46,95,2.77,overcast clouds
220,Emba,KZ,48.8264,58.1442,52.34,42,1,10.6,clear sky
221,Ribeira Grande,PT,38.5167,-28.7,72.0,73,20,14.97,few clouds
222,Novoleushkovskaya,RU,45.9956,39.9921,68.94,49,100,7.2,light rain
223,Todos Santos,MX,23.45,-110.2167,90.01,70,68,8.19,broken clouds
224,Elvas,PT,38.8815,-7.1628,82.62,41,55,3.15,broken clouds
225,San Quintin,MX,30.4833,-115.95,80.02,66,1,12.53,clear sky
226,Wonthaggi,AU,-38.6044,145.5913,53.06,77,80,16.84,light rain
227,Flin Flon,CA,54.7682,-101.865,51.64,62,75,10.36,broken clouds
228,Poum,NC,-20.2333,164.0167,69.22,68,0,8.7,clear sky
229,Kenai,US,60.5544,-151.2583,54.03,83,40,3.44,scattered clouds
230,Vao,NC,-22.6667,167.4833,67.48,61,84,13.89,broken clouds
231,Ponta Do Sol,PT,32.6667,-17.1,80.01,80,7,7.29,clear sky
232,Aklavik,CA,68.2191,-135.0107,48.92,81,75,9.22,broken clouds
233,Alice Springs,AU,-23.7,133.8833,56.75,33,0,5.75,clear sky
